Age,Profession,Marital Status,Education,No of Dependents,Personal Loan,House Loan,Total Salary,Price
27,Salaried,Single,Post Graduate,0,Yes,No,800000,800000
35,Salaried,Married,Post Graduate,2,Yes,Yes,2000000,1000000
45,Business,Married,Graduate,4,Yes,Yes,1800000,1200000
41,Business,Married,Post Graduate,3,No,No,2200000,1200000
31,Salaried,Married,Post Graduate,2,Yes,No,2600000,1600000
28,Salaried,Married,Graduate,3,Yes,Yes,900000,700000
31,Salaried,Married,Graduate,4,No,No,1800000,1200000
33,Business,Married,Post Graduate,4,No,No,1400000,700000
34,Business,Married,Post Graduate,4,No,No,2000000,1100000
34,Salaried,Married,Graduate,3,Yes,Yes,1900000,800000
35,Salaried,Married,Post Graduate,4,No,No,2000000,1600000
35,Salaried,Married,Graduate,4,Yes,Yes,1400000,700000
29,Salaried,Married,Post Graduate,0,No,No,1700000,110000
30,Business,Single,Post Graduate,2,Yes,No,1400000,800000
31,Business,Married,Graduate,3,Yes,Yes,1300000,700000
49,Salaried,Married,Post Graduate,4,No,No,4500000,3000000
26,Salaried,Single,Post Graduate,0,No,No,800000,800000
27,Salaried,Single,Graduate,0,Yes,No,800000,700000
29,Salaried,Single,Post Graduate,2,No,No,900000,1200000
30,Salaried,Married,Graduate,0,No,No,1300000,700000
37,Salaried,Married,Post Graduate,3,No,Yes,2500000,1200000
35,Business,Married,Graduate,3,No,Yes,1900000,800000
36,Business,Married,Graduate,3,No,No,2400000,1600000
35,Business,Married,Post Graduate,4,No,No,1400000,700000
35,Salaried,Married,Graduate,3,Yes,No,2000000,1100000
35,Salaried,Married,Graduate,2,No,No,2900000,1600000
35,Salaried,Married,Post Graduate,4,Yes,Yes,1300000,700000
36,Business,Married,Graduate,3,No,No,1600000,800000
36,Salaried,Married,Post Graduate,3,Yes,Yes,2600000,1200000
36,Salaried,Married,Post Graduate,2,No,No,2700000,1600000
41,Business,Married,Graduate,3,No,No,1100000,700000
41,Salaried,Married,Graduate,3,No,No,2100000,1300000
41,Salaried,Married,Post Graduate,4,No,Yes,3000000,1500000
43,Business,Married,Graduate,3,No,No,2200000,1500000
42,Salaried,Married,Graduate,4,Yes,Yes,2100000,1100000
42,Salaried,Married,Post Graduate,3,No,No,3700000,1600000
29,Business,Married,Post Graduate,0,No,No,1600000,1200000
30,Salaried,Married,Post Graduate,0,No,No,2100000,1500000
30,Business,Single,Post Graduate,0,No,No,1400000,1600000
31,Salaried,Married,Graduate,0,No,No,2200000,1100000
31,Business,Married,Post Graduate,3,Yes,Yes,1700000,800000
32,Business,Married,Post Graduate,0,No,No,1400000,1100000
32,Salaried,Married,Graduate,0,No,No,2400000,1600000
34,Salaried,Married,Post Graduate,3,No,No,2300000,1300000
34,Salaried,Married,Post Graduate,2,Yes,Yes,1600000,800000
34,Salaried,Married,Graduate,3,No,Yes,3600000,1500000
36,Business,Married,Graduate,4,No,No,200000,1100000
36,Business,Married,Graduate,2,No,Yes,2600000,1300000
36,Salaried,Married,Post Graduate,2,No,Yes,1600000,800000
36,Salaried,Married,Graduate,3,Yes,No,3100000,1500000
49,Business,Married,Post Graduate,4,No,No,2000000,1300000
49,Salaried,Married,Post Graduate,3,No,No,4300000,1600000
44,Salaried,Married,Post Graduate,4,No,No,2700000,1600000
44,Business,Married,Post Graduate,3,No,No,3800000,1500000
41,Salaried,Married,Graduate,2,No,No,4700000,3000000
41,Salaried,Married,Post Graduate,3,Yes,Yes,3100000,1500000
41,Salaried,Married,Graduate,3,No,No,2600000,1100000
27,Salaried,Single,Post Graduate,0,No,No,1100000,700000
27,Business,Single,Graduate,0,No,No,1200000,1100000
28,Salaried,Single,Graduate,0,Yes,No,900000,700000
28,Salaried,Single,Post Graduate,0,No,No,1400000,1200000
30,Salaried,Single,Post Graduate,0,No,No,1500000,1500000
31,Business,Single,Graduate,0,No,No,2000000,1500000
31,Salaried,Married,Post Graduate,3,Yes,Yes,1800000,700000
31,Salaried,Married,Graduate,2,No,Yes,2100000,1100000
39,Business,Married,Post Graduate,3,No,No,1600000,700000
39,Business,Married,Graduate,2,Yes,Yes,3600000,1500000
39,Salaried,Married,Post Graduate,2,No,No,1900000,1200000
39,Salaried,Married,Post Graduate,2,Yes,Yes,4000000,1500000
37,Business,Married,Graduate,3,No,No,1700000,1200000
37,Business,Married,Post Graduate,2,No,No,2700000,1500000
37,Salaried,Married,Post Graduate,2,No,Yes,3200000,1600000
37,Salaried,Married,Graduate,2,No,No,1300000,700000
35,Salaried,Married,Post Graduate,0,No,No,2500000,1600000
36,Business,Married,Graduate,0,No,No,2000000,1200000
36,Salaried,Married,Post Graduate,2,No,No,3600000,1500000
36,Business,Married,Post Graduate,2,Yes,Yes,1900000,800000
36,Business,Married,Graduate,3,No,Yes,2900000,1600000
44,Salaried,Married,Post Graduate,3,No,No,3100000,1500000
45,Salaried,Married,Post Graduate,2,No,Yes,4500000,1600000
46,Salaried,Married,Graduate,3,Yes,Yes,2100000,800000
44,Business,Married,Graduate,2,No,No,5200000,1600000
43,Salaried,Married,Post Graduate,3,Yes,Yes,2400000,1100000
42,Salaried,Married,Post Graduate,2,No,Yes,2900000,1300000
42,Salaried,Married,Graduate,3,Yes,Yes,2700000,800000
42,Business,Married,Post Graduate,3,Yes,Yes,1800000,700000
29,Business,Single,Graduate,0,Yes,No,1100000,700000
33,Salaried,Married,Post Graduate,2,No,No,2200000,1200000
34,Salaried,Married,Graduate,2,No,Yes,4100000,1500000
34,Business,Married,Post Graduate,3,Yes,Yes,1900000,700000
35,Salaried,Married,Graduate,2,No,No,1400000,800000
36,Salaried,Married,Post Graduate,3,Yes,Yes,4900000,1600000
37,Salaried,Married,Graduate,2,No,Yes,2800000,1200000
27,Salaried,Single,Post Graduate,0,No,No,900000,700000
27,Business,Single,Graduate,0,No,No,2400000,1600000
50,Salaried,Married,Post Graduate,3,No,No,5100000,1600000
51,Business,Married,Graduate,2,Yes,Yes,2200000,1100000
51,Salaried,Married,Post Graduate,2,No,No,4000000,1500000
51,Salaried,Married,Post Graduate,2,Yes,Yes,2200000,1100000
